DJI_20260813183004_0001_Z_01m56s.jpg	65	695,1029,4,3	11	153,133,110	39.5
DJI_20260813183004_0001_Z_01m56s.jpg	66	1288,1048,5,3	13	254,251,235	39.3
DJI_20260813183004_0001_Z_01m56s.jpg	67	381,739,3,4	12	112,112,99	36.7
DJI_20260813183004_0001_Z_01m56s.jpg	68	1349,891,3,4	10	87,68,64	33.7
DJI_20260813183004_0001_Z_01m56s.jpg	69	1517,871,3,4	12	134,132,118	33.1
DJI_20260813183004_0001_Z_01m56s.jpg	70	1895,247,5,5	12	94,93,80	32.7
DJI_20260813183004_0001_Z_01m56s.jpg	71	1853,746,3,3	8	55,40,31	31.0
DJI_20260813183004_0001_Z_01m56s.jpg	72	683,968,3,3	7	84,68,74	30.7
DJI_20260813183004_0001_Z_01m56s.jpg	73	1805,300,3,3	8	74,55,55	30.4
DJI_20260813183004_0001_Z_01m56s.jpg	74	448,806,3,3	8	122,97,92	30.4
DJI_20260813183004_0001_Z_01m56s.jpg	75	503,816,4,3	8	74,54,50	30.2
DJI_20260813183004_0001_Z_01m56s.jpg	76	333,951,3,4	11	125,127,113	29.1
DJI_20260813183004_0001_Z_01m56s.jpg	77	461,828,4,2	8	93,72,64	26.7
DJI_20260813183004_0001_Z_01m56s.jpg	78	434,692,3,3	7	197,166,151	26.3
DJI_20260813183004_0001_Z_01m56s.jpg	79	1181,1035,3,4	10	74,71,60	25.6
DJI_20260813183004_0001_Z_01m56s.jpg	80	681,817,2,3	6	210,202,174	24.1
DJI_20260813183004_0001_Z_01m56s.jpg	81	721,721,3,3	8	52,43,34	23.8
DJI_20260813183004_0001_Z_01m56s.jpg	82	678,921,3,2	6	168,162,135	23.7
DJI_20260813183004_0001_Z_01m56s.jpg	83	427,697,3,2	6	207,178,166	23.3
DJI_20260813183004_0001_Z_01m56s.jpg	84	697,633,2,4	8	95,77,78	21.8
DJI_20260813183004_0001_Z_01m56s.jpg	85	611,1068,2,3	6	77,58,46	21.6
DJI_20260813183004_0001_Z_01m56s.jpg	86	444,827,3,3	7	85,66,60	21.1
DJI_20260813183004_0001_Z_01m56s.jpg	87	1892,311,3,2	6	56,53,42	19.6
